id,make_id,model_id,make,model,year_model
1,1,1,NISSAN,Urvan Escapade,2004-2005
2,1,2,NISSAN,Urvan Estate,
3,1,3,NISSAN,NV 350 Urvan (Caravcan),2015/2016
4,2,4,PEUGEOT,1007,
5,2,5,PEUGEOT,206,
6,2,6,PEUGEOT,307,
